mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-0.221,0.939,-1.961,1.54,0.017,0.023,3204.0,1558.0,1.0
-0.316,0.933,-2.048,1.41,0.014,0.022,4541.0,1454.0,1.0
-0.402,0.954,-2.214,1.314,0.016,0.021,3637.0,1592.0,1.0
-0.34,0.953,-2.108,1.447,0.015,0.02,3908.0,1501.0,1.0
-0.332,0.947,-2.013,1.536,0.014,0.021,4446.0,1517.0,1.01
-0.371,0.981,-2.164,1.434,0.014,0.024,4863.0,1139.0,1.0
-0.254,0.933,-2.098,1.376,0.015,0.022,4071.0,1389.0,1.0
-0.454,0.929,-2.299,1.198,0.015,0.019,4023.0,1495.0,1.0
-0.339,0.931,-2.07,1.361,0.014,0.021,4465.0,1603.0,1.0
-0.318,0.874,-1.998,1.316,0.015,0.019,3531.0,1495.0,1.0
-0.218,0.935,-1.982,1.521,0.013,0.027,5568.0,1167.0,1.0
-0.254,0.985,-2.006,1.658,0.017,0.023,3254.0,1507.0,1.0
-0.289,0.971,-2.158,1.486,0.015,0.023,4304.0,1493.0,1.01
-0.296,0.908,-1.93,1.356,0.015,0.021,3667.0,1702.0,1.0
-0.185,0.918,-1.989,1.474,0.015,0.022,3748.0,1399.0,1.0
-0.131,0.946,-2.015,1.567,0.016,0.023,3507.0,1516.0,1.0
-0.117,0.936,-1.956,1.554,0.016,0.022,3255.0,1514.0,1.0
-0.009,0.898,-1.69,1.652,0.014,0.02,4444.0,1614.0,1.0
0.059,0.939,-1.622,1.834,0.017,0.023,3105.0,1441.0,1.0
0.183,0.894,-1.479,1.798,0.015,0.022,3694.0,1266.0,1.0
0.111,0.942,-1.721,1.831,0.015,0.022,3795.0,1561.0,1.0
0.148,0.973,-1.789,1.985,0.017,0.026,3334.0,1378.0,1.01
0.261,0.955,-1.592,1.938,0.015,0.021,4079.0,1554.0,1.0
0.309,0.915,-1.324,2.109,0.013,0.02,4569.0,1313.0,1.0
0.305,0.933,-1.491,1.999,0.015,0.021,3879.0,1678.0,1.0
0.272,0.939,-1.423,2.078,0.015,0.023,3752.0,1439.0,1.0
0.36,0.875,-1.242,2.044,0.014,0.018,3962.0,1703.0,1.0
0.345,0.912,-1.363,2.07,0.015,0.02,3741.0,1412.0,1.0
0.144,0.933,-1.575,1.952,0.015,0.023,3647.0,1244.0,1.01
0.237,0.942,-1.34,2.158,0.016,0.021,3555.0,1640.0,1.0
0.508,0.926,-1.258,2.216,0.015,0.017,3849.0,1684.0,1.0
0.439,0.936,-1.354,2.165,0.014,0.021,4577.0,1411.0,1.0
0.446,0.891,-1.315,2.036,0.015,0.017,3724.0,1781.0,1.0
0.395,0.884,-1.259,2.089,0.015,0.02,3606.0,1371.0,1.0
0.396,0.932,-1.295,2.123,0.015,0.021,4022.0,1552.0,1.0
0.329,0.937,-1.444,2.046,0.015,0.02,3817.0,1488.0,1.0
0.444,0.935,-1.248,2.294,0.014,0.022,4267.0,1181.0,1.0
0.356,0.888,-1.179,2.169,0.015,0.019,3291.0,1593.0,1.0
0.364,0.925,-1.377,2.022,0.014,0.019,4550.0,1681.0,1.0
0.552,0.883,-1.101,2.173,0.013,0.017,4635.0,1569.0,1.0
0.583,0.922,-1.18,2.268,0.014,0.019,4165.0,1265.0,1.0
0.34,0.902,-1.413,1.947,0.017,0.021,2867.0,1509.0,1.0
0.224,0.912,-1.497,1.981,0.015,0.02,3719.0,1509.0,1.0
0.127,0.899,-1.612,1.796,0.015,0.022,3745.0,1443.0,1.0
0.085,0.898,-1.573,1.824,0.013,0.023,4492.0,1239.0,1.0
