|Value|CT|Gender|20_24|25_29|30_34|35_39|40_44|45_49|50_54|55_59|60_64|65_69|70_74|75_79|80_84|85+|
|mean|HL|Women|9|9|9|5|4|3|2|3|3|4|4|3|2|1|
|upper|HL|Women|21|22|22|15|11|9|9|9|9|11|12|10|7|5|
|lower|MM|Men|0|0|0|0|0|0|0|5|14|23|37|41|27|17|
|real|MM|Men|0|0|0|2|4|11|23|26|47|44|87|83|69|36|
|mean|MM|Men|0|0|0|0|3|8|18|30|46|62|87|93|60|39|
|upper|MM|Men|0|0|1|4|10|19|36|54|78|100|137|144|93|61|
|lower|MM|Women|0|0|0|0|0|0|0|2|5|12|20|26|18|13|
|real|MM|Women|0|0|0|0|3|11|11|17|31|45|60|71|49|30|
|mean|MM|Women|0|0|0|0|2|5|10|20|27|42|61|64|45|37|
|upper|MM|Women|0|0|0|1|7|13|23|39|49|71|102|102|73|61|
|lower|NHL|Men|0|0|0|0|2|8|17|29|43|66|99|108|76|51|
|real|NHL|Men|6|9|7|17|26|34|59|82|110|136|172|169|143|93|
|mean|NHL|Men|3|5|8|13|21|33|52|74|97|135|192|210|141|98|
|upper|NHL|Men|9|14|20|28|41|59|88|119|152|203|285|313|206|145|
|lower|NHL|Women|0|0|0|0|0|2|8|16|27|40|62|75|51|50|
|real|NHL|Women|0|10|5|12|7|22|35|56|58|95|133|163|135|101|
|mean|NHL|Women|1|4|6|8|12|23|36|51|69|94|134|149|106|102|
|upper|NHL|Women|5|12|16|20|26|44|64|86|111|148|206|224|161|154|
|lower|ovarian|Women|0|0|0|0|2|10|20|28|36|42|52|44|23|14|
|real|ovarian|Women|6|7|10|11|22|35|50|70|77|103|118|86|50|21|
|mean|ovarian|Women|3|5|7|12|20|37|55|69|79|90|111|92|51|37|
|upper|ovarian|Women|9|15|18|26|37|63|90|109|122|138|169|140|79|59|
|lower|pancreas|Men|0|0|0|0|0|0|2|13|26|50|76|71|39|21|
|real|pancreas|Men|0|0|1|0|3|14|18|52|73|115|154|155|76|45|
|mean|pancreas|Men|0|0|0|0|2|9|24|45|72|110|160|151|81|47|
|upper|pancreas|Men|0|0|1|3|9|22|46|77|117|169|244|232|123|72|
|lower|pancreas|Women|0|0|0|0|0|0|1|10|24|42|70|75|45|36|
|real|pancreas|Women|0|0|1|2|1|12|23|36|71|100|153|163|115|84|
|mean|pancreas|Women|0|0|0|0|2|8|21|38|65|100|148|154|96|79|
|upper|pancreas|Women|0|0|1|3|9|20|41|67|107|158|226|233|147|121|
|lower|stomach|Men|0|0|0|0|0|0|0|7|17|30|47|52|36|28|
|real|stomach|Men|1|2|3|5|18|10|22|42|47|77|101|112|73|62|
|mean|stomach|Men|0|0|1|2|6|10|19|32|48|71|101|107|73|57|
|upper|stomach|Men|0|1|5|7|15|23|39|56|79|111|155|162|109|85|
|lower|stomach|Women|0|0|0|0|0|0|0|0|4|9|19|22|19|20|
|real|stomach|Women|0|0|2|4|10|17|22|23|26|35|53|38|51|37|
|mean|stomach|Women|0|0|0|2|5|9|11|18|25|34|53|59|47|49|
|upper|stomach|Women|0|2|4|8|14|21|25|35|45|59|88|96|76|78|
|lower|thyroid|Men|0|0|0|0|0|0|0|0|0|1|3|2|1|0|
|real|thyroid|Men|4|10|15|34|13|21|20|22|23|24|35|19|8|10|
|mean|thyroid|Men|1|5|12|14|15|19|19|21|21|23|30|23|11|7|
|upper|thyroid|Men|7|15|29|31|33|39|40|43|43|44|57|43|21|14|
|lower|thyroid|Women|0|5|13|15|16|18|17|13|12|10|15|9|6|4|
|real|thyroid|Women|15|24|60|54|70|54|45|49|28|35|61|31|22|11|
|mean|thyroid|Women|14|32|53|54|56|61|58|49|43|40|49|35|25|21|
|upper|thyroid|Women|29|59|92|94|95|104|99|84|74|70|82|61|43|38|
|lower|UL|Men|0|0|0|0|0|0|0|1|7|14|24|29|21|16|
|real|UL|Men|1|1|1|1|4|9|13|18|29|50|48|61|64|47|
|mean|UL|Men|0|0|0|1|2|6|11|21|30|43|63|66|47|37|
|upper|UL|Men|1|2|3|5|8|16|25|41|52|72|102|104|73|57|
|lower|UL|Women|0|0|0|0|0|0|0|4|10|20|34|43|38|39|
|real|UL|Women|0|2|3|1|4|9|18|22|32|48|71|125|74|73|
|mean|UL|Women|0|0|0|1|4|8|16|25|36|55|82|98|80|83|
|upper|UL|Women|0|1|3|6|12|19|32|46|62|89|129|153|123|128|
|lower|prostata|Men|0|0|0|0|0|28|178|471|799|1094|1287|985|470|239|
|real|prostata|Men|1|0|0|1|14|83|287|725|1294|1900|2018|1616|726|390|
|mean|prostata|Men|0|0|0|0|7|75|340|850|1433|1927|2207|1663|816|411|
|upper|prostata|Men|0|0|0|1|19|122|503|1230|2068|2760|3126|2341|1163|582|
|lower|testicle|Men|5|19|24|19|12|5|0|0|0|0|0|0|0|0|
|real|testicle|Men|38|67|76|53|41|41|25|18|8|6|5|3|3|3|
|mean|testicle|Men|32|70|77|65|47|33|19|11|7|4|3|1|0|0|
|upper|testicle|Men|59|121|131|110|81|62|39|25|17|12|10|5|3|3|
