|Value|CT|Gender|20_24|25_29|30_34|35_39|40_44|45_49|50_54|55_59|60_64|65_69|70_74|75_79|80_84|85+|
|--|--|--|--|--|--|--|--|--|--|--|--|--|--|--|--|--|
|lower|breast|Men|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
|real|breast|Men|0|0|0|0|2|3|3|5|2|9|9|7|9|10|
|mean|breast|Men|0|0|0|0|0|0|1|3|5|7|11|9|6|6|
|upper|breast|Men|0|0|0|1|2|2|5|10|14|18|26|20|14|13|
|lower|breast|Women|0|9|64|157|323|556|610|643|741|851|989|701|497|463|
|real|breast|Women|6|42|145|247|558|944|1059|911|1106|1289|1567|908|759|622|
|mean|breast|Women|2|35|127|272|535|897|983|1053|1183|1342|1518|1114|779|744|
|upper|breast|Women|7|61|191|388|747|1238|1357|1463|1625|1834|2048|1527|1060|1025|
|lower|OSC|Men|0|0|0|0|0|2|18|52|114|232|506|740|683|849|
|real|OSC|Men|0|7|4|7|8|24|52|118|244|427|846|1322|1239|1581|
|mean|OSC|Men|0|1|2|5|11|24|53|114|219|419|890|1273|1177|1417|
|upper|OSC|Men|2|5|8|14|25|46|89|176|323|605|1274|1805|1671|1985|
|lower|OSC|Women|0|0|0|0|0|11|28|54|93|158|307|423|415|757|
|real|OSC|Women|0|3|6|6|14|52|63|107|193|320|595|797|826|1329|
|mean|OSC|Women|0|1|4|7|17|40|76|119|185|304|560|765|746|1349|
|upper|OSC|Women|2|5|12|18|35|69|123|185|276|451|812|1107|1078|1942|
|lower|uterus|Women|0|10|27|32|37|50|71|95|110|133|171|155|110|100|
|real|uterus|Women|10|29|56|64|88|103|144|175|199|238|342|275|222|135|
|mean|uterus|Women|6|37|70|74|81|104|140|179|199|239|298|270|190|176|
|upper|uterus|Women|15|64|112|116|126|158|209|262|287|345|426|386|269|251|
|lower|colon|Men|0|0|0|3|14|39|77|129|204|313|461|500|354|261|
|real|colon|Men|3|8|22|27|57|92|164|229|334|460|743|713|536|374|
|mean|colon|Men|2|6|13|24|46|85|150|236|351|515|749|812|577|424|
|upper|colon|Men|8|16|28|44|78|131|223|343|499|718|1037|1123|801|587|
|lower|colon|Women|0|0|0|3|14|36|68|112|161|240|353|404|335|348|
|real|colon|Women|4|13|13|22|51|101|145|176|268|428|591|644|568|535|
|mean|colon|Women|4|6|12|22|42|83|137|204|281|404|584|664|556|556|
|upper|colon|Women|11|17|26|42|71|130|206|297|401|568|815|924|778|765|
|lower|UT|Men|0|0|0|0|0|5|20|50|95|170|285|337|233|188|
|real|UT|Men|2|5|4|2|6|31|47|113|173|321|492|588|409|329|
|mean|UT|Men|0|1|2|5|11|27|55|105|177|308|502|566|396|317|
|upper|UT|Men|1|5|8|13|24|49|91|160|259|446|719|794|559|446|
|lower|UT|Women|0|0|0|0|0|0|0|10|26|43|76|87|65|67|
|real|UT|Women|0|0|2|1|2|5|14|45|57|97|156|180|126|136|
|mean|UT|Women|0|0|0|1|3|8|19|38|67|98|156|171|128|131|
|upper|UT|Women|0|1|2|5|10|20|38|67|109|153|236|254|192|194|
|lower|melanoma|Men|0|0|6|16|29|54|77|104|120|145|206|215|148|124|
|real|melanoma|Men|5|22|41|48|65|105|155|207|249|284|383|379|264|203|
|mean|melanoma|Men|7|17|32|51|74|119|163|200|228|277|386|378|262|225|
|upper|melanoma|Men|17|36|59|86|119|183|249|296|336|409|566|541|376|327|
|lower|melanoma|Women|0|8|20|34|55|85|102|92|98|114|144|142|91|110|
|real|melanoma|Women|13|34|42|76|108|188|199|211|194|196|302|245|205|178|
|mean|melanoma|Women|14|36|59|83|121|169|193|187|187|212|266|256|167|196|
|upper|melanoma|Women|28|63|97|131|187|253|284|282|276|311|389|371|243|282|
|lower|lung|Men|0|0|0|0|0|1|14|43|93|175|288|288|164|83|
|real|lung|Men|3|1|4|8|8|17|50|78|162|295|505|514|307|128|
|mean|lung|Men|0|0|1|3|8|20|45|94|178|315|494|501|280|147|
|upper|lung|Men|0|2|4|10|19|39|76|146|264|454|699|714|395|211|
|lower|lung|Women|0|0|0|0|0|4|22|55|121|210|326|289|149|93|
|real|lung|Women|1|3|6|4|15|16|61|109|195|355|617|583|265|146|
|mean|lung|Women|0|0|1|3|11|27|60|122|228|379|587|509|269|169|
|upper|lung|Women|1|2|5|11|24|51|98|190|334|548|847|728|388|246|
|lower|brain|Men|0|0|2|3|8|14|21|24|32|33|35|26|12|6|
|real|brain|Men|11|16|25|22|44|43|56|74|95|73|96|61|43|16|
|mean|brain|Men|11|19|25|28|35|47|61|70|78|79|83|63|30|18|
|upper|brain|Men|25|39|48|53|62|81|101|115|123|126|131|99|48|29|
|lower|brain|Women|0|0|2|5|11|21|27|31|36|40|41|29|12|7|
|real|brain|Women|6|16|14|22|37|59|71|74|84|87|101|88|43|15|
|mean|brain|Women|8|15|21|28|40|61|72|78|84|90|98|67|32|24|
|upper|brain|Women|19|30|41|51|70|100|117|124|133|140|156|106|52|41|
|lower|esophagus|Men|0|0|0|0|0|0|0|3|11|22|32|30|18|12|
|real|esophagus|Men|0|0|1|1|0|3|12|16|41|50|81|81|36|37|
|mean|esophagus|Men|0|0|0|0|0|4|11|25|41|60|81|73|43|30|
|upper|esophagus|Men|0|0|0|0|3|12|25|46|71|97|131|117|68|48|
|lower|esophagus|Women|0|0|0|0|0|0|0|0|0|0|3|4|3|3|
|real|esophagus|Women|0|0|1|0|0|4|2|8|19|20|38|36|16|20|
|mean|esophagus|Women|0|0|0|0|0|0|2|7|11|18|26|26|18|21|
|upper|esophagus|Women|0|0|0|0|0|2|7|18|24|36|50|48|34|39|
|lower|kidney|Men|0|0|0|0|1|11|22|36|51|65|90|86|42|20|
|real|kidney|Men|1|22|7|9|19|44|83|94|124|167|203|159|80|27|
|mean|kidney|Men|0|1|2|9|20|41|65|87|114|138|186|169|85|44|
|upper|kidney|Men|1|6|9|21|39|71|107|139|177|210|282|252|128|68|
|lower|kidney|Women|0|0|0|0|0|0|4|11|17|24|40|40|25|15|
|real|kidney|Women|0|0|6|1|13|16|28|45|49|56|93|78|68|29|
|mean|kidney|Women|0|0|1|2|7|14|28|42|52|66|95|93|58|41|
|upper|kidney|Women|1|2|5|8|18|30|51|73|87|108|150|146|90|67|
|lower|liver|Men|0|0|0|0|0|0|5|20|40|56|73|63|39|22|
|real|liver|Men|1|1|4|8|9|8|29|54|104|111|160|116|103|46|
|mean|liver|Men|0|0|1|1|6|14|30|62|101|124|154|139|82|48|
|upper|liver|Men|0|2|6|7|16|29|56|105|161|193|235|214|125|74|
|lower|liver|Women|0|0|0|0|0|0|0|5|14|26|43|47|34|28|
|real|liver|Women|1|0|1|4|2|8|15|24|38|65|133|113|73|59|
|mean|liver|Women|0|0|0|1|3|7|15|28|45|67|101|107|76|66|
|upper|liver|Women|0|1|2|4|9|18|32|51|76|108|160|168|118|104|
|lower|OEG|Men|0|0|0|0|1|3|7|10|13|16|20|16|6|1|
|real|OEG|Men|9|10|14|20|20|27|34|40|46|43|55|57|25|8|
|mean|OEG|Men|4|9|16|16|21|25|37|43|45|50|57|47|21|9|
|upper|OEG|Men|13|22|34|34|41|48|67|75|78|85|93|78|35|17|
|lower|OEG|Women|0|5|5|7|10|13|21|23|20|23|26|21|8|1|
|real|OEG|Women|14|16|21|19|30|31|63|62|72|53|71|42|27|10|
|mean|OEG|Women|16|29|33|34|40|46|63|64|59|64|71|56|25|12|
|upper|OEG|Women|32|54|61|61|70|78|105|105|99|106|115|91|42|24|
|lower|HL|Men|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
|real|HL|Men|10|18|12|14|10|5|5|4|7|9|9|13|3|1|
|mean|HL|Men|9|10|10|8|7|5|6|6|6|7|8|6|3|2|
|upper|HL|Men|22|24|25|20|19|15|16|16|16|16|19|15|8|5|
|lower|HL|Women|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
|real|HL|Women|13|15|6|6|5|2|6|4|4|5|9|5|7|4|
