AgeGroup,Gender,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0_4,Women,280460,275596,270765,267532,269260,267572,261653,254791,246712,239689,235951,233666,231842,230750,229573,230272,234372,241051,251159,262619,275635,285607,293395,296326,295172,283639,269074,253132,239508,228276,222960,221532,224907,230091,236215,241805,249715,255711,260995,266396,272857,275744,278860,281525,283973,284434,289649,292199,293462,292151,289196,286054,280184
5_9,Women,280022,288501,294153,293781,285926,279850,276116,272477,271001,272980,270593,263519,255288,246826,239865,236504,234769,234023,234525,235279,237313,241974,248369,258852,271531,283065,291685,298141,299301,296317,285489,272123,257430,244541,233757,228226,227530,231707,238058,245360,251209,258689,264686,271218,277859,286162,291852,297294,300939,303099,300892,302622,301335
10_14,Women,257745,257006,256790,260355,269421,279397,288187,294987,295361,287591,281237,276712,272381,270750,272660,270440,263895,256626,249054,243300,240975,240207,240012,241140,242782,243970,247913,254030,263615,273802,285731,295367,302357,303958,301250,290244,277719,263740,251681,242048,237181,236059,240317,247801,255844,263672,273831,281896,289113,295667,302029,304297,306568
15_19,Women,269426,267117,264911,262073,261759,259970,259357,259850,263784,272977,282665,290466,296313,296306,288424,282148,278028,274310,273410,276583,274946,268568,261346,254512,249739,247029,245624,245139,245632,245595,247144,251908,258740,268883,279492,291297,301545,309280,311677,310522,300431,287608,273837,262834,254181,251450,253037,258776,265711,272837,278531,286409,292308
20_24,Women,321298,310054,298269,287534,278929,275183,274394,274584,273054,273046,271046,269112,267738,270061,278335,287294,295720,302329,303640,297937,293166,289143,285209,284179,287190,284543,277341,269193,261354,255245,253477,253257,253797,254923,255729,257780,264080,272155,283529,295948,309015,317973,325579,327952,326946,318250,309158,297384,286425,277075,271966,271045,275136
25_29,Women,304591,320812,328389,330157,326842,319782,310070,302257,294236,286680,283119,281607,280172,277100,276039,273608,272133,272366,276833,287767,298621,307833,314388,315993,310263,303565,298277,293500,291090,292534,290908,285406,279258,272990,268046,267019,268425,270908,274567,278479,282699,289214,297206,308494,320517,333430,346470,356635,360374,359711,348382,336224,323678
30_34,Women,237046,242626,252716,266402,282541,301157,317853,327901,331572,328990,321992,311869,302837,294272,286410,282881,282082,281805,280715,281764,281117,280691,281290,286487,297868,306599,314371,319925,320465,312809,307225,303551,300388,299382,301389,299956,295526,290615,286613,283926,284477,286071,289250,293034,297018,301065,310855,321958,335686,348710,361033,371415,379866
35_39,Women,218679,218474,218822,223467,229829,234926,240712,252014,266594,282894,301243,317494,326804,330123,327540,320590,310881,302538,295003,288806,286716,286874,286923,286420,288106,286607,285248,285361,289442,298675,308090,317223,323976,325320,318405,312925,310138,307985,308321,312257,311898,307835,303087,299027,296259,297907,301728,306649,312107,316703,320188,327998,337476
40_44,Women,234875,231420,228835,223254,220390,216976,216937,217940,223067,229538,234431,240043,250960,265284,281400,299765,316165,325788,329736,327770,321718,312367,304108,297121,291498,289071,289080,288989,287670,287831,286872,286409,287385,292052,301724,311210,320875,328097,330256,325130,320639,318120,316197,316510,320549,321076,318411,315024,311921,309321,310620,312994,316375
45_49,Women,262840,253800,246899,241973,236295,232521,229236,227159,221979,219174,215786,215541,216429,221399,227795,232845,238456,249416,263892,280393,298902,315397,324946,328897,327197,321146,311791,303708,296446,290176,288137,288618,289253,288398,288858,288076,288040,289554,294956,305370,315514,325177,332451,334920,329661,326022,324719,323818,324649,328884,328772,324931,320776
50_54,Women,260269,266199,267471,268704,269493,258661,249854,243483,238933,233455,229755,226562,224464,219223,216518,213182,213107,214181,219430,225956,231078,236847,247613,261989,278532,296623,312720,322190,326018,323914,318019,309213,301737,294814,289004,286919,287580,288507,288162,289390,289145,289206,290908,296231,306766,317295,327818,335765,338662,333591,329537,327506,326130
55_59,Women,255439,253406,250805,248020,244729,254041,259992,261618,263102,263853,253345,244823,238551,234257,228891,225339,222322,220421,215571,213226,210154,210218,211351,216672,223453,228737,234263,244668,258368,274127,291704,307783,317539,321612,319655,313944,305568,298338,291851,286358,284742,285657,286711,286505,287752,287903,288606,290709,296233,306757,317015,327049,334707
60_64,Women,245071,246892,248661,248803,248069,246478,244367,242150,239683,236621,245782,251475,253261,254747,255671,245700,237522,231510,227567,222788,219760,216976,215140,210592,208932,206234,206550,207470,212286,218114,223028,228538,238917,252347,267741,284927,300775,310513,314725,313315,308051,300029,292974,286756,281590,280057,281260,282417,282369,283542,283764,284148,286309
65_69,Women,211861,215252,218472,223367,228076,230665,232687,234802,235142,234706,233229,231580,229490,227296,224780,233670,239228,241087,242554,243695,234694,227194,221764,218220,214084,211698,209195,207350,202733,200532,197651,197835,199000,203970,209923,214762,220066,229989,243118,258417,275129,290812,300275,304445,302949,298056,290492,283808,277788,272942,271524,272568,273778
70_74,Women,170101,175047,179933,183319,187425,190580,193827,197452,202266,206972,209868,211858,214026,214773,214802,213811,212687,211036,209114,207294,215951,221649,223506,225097,226407,218651,211944,207101,204048,199813,197578,195076,193357,189247,187328,184807,185400,186971,192032,197874,202782,207722,217320,229950,244676,260672,275338,284194,288177,287021,282384,275284,269193
75_79,Women,122410,125632,128519,132416,135736,139874,144234,149278,152634,156844,159921,163367,167120,171870,176213,179082,181596,184170,185143,185616,185049,184549,183654,182493,181624,189866,195440,197310,198816,199719,192992,187297,183598,181377,178141,176310,174507,173149,169964,168643,166733,167620,169211,173932,179540,184183,189018,198154,209682,223345,237761,251189,259291
80_84,Women,72251,74996,77249,80235,83325,86261,88615,91442,94483,97331,101013,104940,109463,112974,117120,119969,123134,126377,130047,134311,137176,139343,141990,142906,144175,144488,144831,144792,144502,143912,151039,156086,157481,159034,160268,155820,151991,149642,148190,146170,145246,144099,143362,140953,140328,139009,140113,141869,146321,151472,155095,159458,167556
85+,Women,40990,43762,46155,48511,50838,53285,55506,58333,61330,64147,67139,69777,72988,76425,80036,83929,87905,92466,95615,99852,103642,108059,112424,116259,121574,125894,129435,133713,137409,139917,141995,143461,144561,146075,148156,155175,160254,162145,163942,166065,167578,168386,167757,168420,168707,169408,169451,169031,168128,168947,167759,170428,172566
